Year,White,Black,Hispanic,Other
2007,43,16,23,14
2008,43,15,21,13
2009,44,15,19,10
2010,44,16,20,11
2011,47,16,20,11
2012,49,18,21,11
2013,50,18,23,10
2014,53,20,25,10
2015,57,22,25,11
2016,63,26,26,12
